CS 500,Fake Classes,4,CS,500
CS 170,Intro to Computer Science I,4,CS,170
CS 171,Intro to Computer Science II,3,CS,171
CS 224,Discrete Structures,3,CS,224
CS 255,Computer Organization / Assembly Programming,3,CS,255
CS 323,Data Structures and Algorithms,3,CS,323
CS 325,Artificial Intelligence,3,CS,325
CS 329,Computational Linguistics,3,CS,329
CS 355,Computer Architecture,3,CS,355
CS 370,Computer Science Practicum,3,CS,370
CS 377,Database Systems,3,CS,377
CS 378,Data Mining,3,CS,378
CS 424,Theory of Computing,3,CS,424
CS 450,Systems Programming,3,CS,450
CS 452,Operating Systems,3,CS,452
CS 453,Computer Security,3,CS,453
CS 455,Intro to Computer Networking,3,CS,455
CS 456,Compiler Construction,4,CS,456
MATH 111,Calculus I ,3,MATH,111
MATH 112,Calculus II,3,MATH,112
MATH 211,Multivariable Calculus,3,MATH,211
MATH 212,Differential Equations,3,MATH,212
MATH 221,Linear Algebra,4,MATH,221
MATH 250,Foundations of Mathematics,3,MATH,250
MATH 270,History and Philosphy of Math,3,MATH,270
MATH 315,Numerical Analysis,3,MATH,315
MATH 318,Complex Variables,3,MATH,318
MATH 321,Abstract Vector Spaces,3,MATH,321
MATH 328,Number Theory,3,MATH,328
MATH 330,Intro to Combinatorics,3,MATH,330
MATH 344,Differential Geometry,3,MATH,344
MATH 345,Mathematical Modeling,3,MATH,345
MATH 346,Intro to Optimization Theory,3,MATH,346
MATH 347,Intro to Nonlinear Optimization,3,MATH,347
MATH 351,Partial Differential Equations,3,MATH,351
MATH 352,PDE's in Action,3,MATH,352
MATH 361,Probability and Statistics I ,3,MATH,361
MATH 362,Probability and Statistics II,3,MATH,362
MATH 411,Real Analysis I,3,MATH,411
MATH 412,Real Analysis II,3,MATH,412
MATH 421,Abstract Algebra I,3,MATH,421
MATH 422,Abstract Algebra II,3,MATH,422
MATH 425,Mathematical Economics,3,MATH,425
